Proceso;KPI;Descripcion;Formula;Valor;Meta;Unidad;Tendencia;Estado;Cumplimiento %;Proyeccion
Gestión de la Demanda TI;Tiempo de Resolución Solicitud de Demanda;Mide cuanto demora el Proceso desde que entra una Solicitud de demanda TI, hasta que se prioriza para un proyecto o se rechaza.;(Sumatoria de tiempos de priorización o rechazo de solicitudes de Demanda TI del período) / (Sumatoria de solicitudes del período);0.0;85.0;días;descendente;cumple;100.0;
Gestión de la Demanda TI;Porcentaje de solicitudes de demanda evaluadas dentro de SLA;Mide la proporción de Solicitudes que se priorizan o rechazan dentro del rango del SLA comprometido1, respecto al total de solicitudes realizadas en el período;((Sumatoria de solicitudes evaluadas dentro de SLA) / (Sumatoria de solicitudes realizadas en el período))*100;0.0;0.0;%;ascendente;cumple;100.0;0.0
Gestión de Cambios TI;Tasa de aceptación de cambios por CAB / ECAB;Mide la proporción de cambios que con aceptados respecto del total;(Sumatoria de solicitudes aprobadas en CAB/ECAB) / (Sumatoria de solicitudes del período)*100;99.36;90.0;%;ascendente;cumple;100.0;99.2
Gestión de Cambios TI;Porcentaje de cambios urgentes;Mide la proporción de cambios urgentes respecto del total;(Sumatoria de solicitudes urgentes) / (Sumatoria de solicitudes del período)*100;6.83;30.0;%;descendente;cumple;100.0;0.37
Gestión de Cambios TI;Porcentaje de cambios con vuelta atrás;Mide la proporción de cambios con vuelta atrás respecto del total;(Sumatoria de solicitudes con vuelta atrás) / (Sumatoria de solicitudes del período)*100;0.0;20.0;%;descendente;cumple;100.0;0.0
Gestión de Cambios TI;Porcentaje de cambios con errores en la certificación;Mide la proporción de cambios con errores respecto del total;(Sumatoria de solicitudes que tuvieron estado no certificado) / (Sumatoria de solicitudes del período)*100;3.11;20.0;%;descendente;cumple;100.0;3.81
Gestión de Incidentes TI;Tiempo resolución de incidentes;Tiempo medio para resolver un incidente, agrupados por categorías;(Sumatoria de lostiempos de resolucióndel total de incidentes) / (Sumatoria de los incidentes cerrados en el período);14.63;20.0;días;descendente;cumple;100.0;15.34
Gestión de Incidentes TI;Capacidad de cierre de incidentes;Porcentaje de cierre de incidentes ingresados en el período;(Sumatoria de incidentes cerrados a la fecha) / (Sumatoria de incidentes creados a la fecha)*100;;;unidad;ascendente;sin_datos;;
Gestión de Requerimientos TI;Cantidad de requerimientos rechazados;Requerimientos sin autorización especial;Sumatoria de requerimientos rechazados en un mes;0.0;0.0;cantidad;descendente;cumple;100.0;0.0
Gestión de Requerimientos TI;Tiempo de resolución de requerimientos;Tiempo medio para resolver un requerimiento, incluye puesta en producción;Sumatoria de los tiempos de resolución de requerimientos dividido por la cantidad de requerimientos;17.94;20.0;días;descendente;cumple;100.0;18.25
Gestión de Requerimientos TI;Resolución de requerimientos dentro de SLA;Porcentaje de requerimientos resueltos durante el tiempo acordado en el SLA con proveedor Sonda;Sumatoria de requerimientos resueltos dentro del SLA en el mes;0.0;90.0;%;ascendente;bajo;0.0;0.0
